actionId,afprice,browser,city,country,currency,date,device,goal,goalValue,ip,offer_title,os,revenue,status,sub1
2408111UGA4SUP_13342719834_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/12/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.098,confirmed,tabm
2408111MARVYJP_18744144343_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/12/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1907,confirmed,tabm
2408111MARVYJN_3395641503_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/12/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.2203,confirmed,tabm
12544.6067.705239,undefined USD,Chrome 120,Heidenau,DE,USD,8/12/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240810V679T3G2_25961979847_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:35,desktop,Old User,1,58.182.84.142,Shopee SG - CPS,Windows 10,0.1625,confirmed,tabm
240810TREW3RHB_21747128988_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0048,confirmed,tabm
240810TREW3RH7_5568609328_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1044,confirmed,tabm
240810TREW3RH8_11654829089_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1405,confirmed,tabm
240810TREW3RH6_2719664158_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0617,confirmed,tabm
240810TREW3RHA_12540816355_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1615,confirmed,tabm
240810TREW3RH9_12540198719_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.025,confirmed,tabm
240810TREW3RHC_22727086557_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0559,confirmed,tabm
240810TREW3RHB_21747128988_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0567,confirmed,tabm
240810TREW3RHD_25503550441_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1622,confirmed,tabm
240810TREW3RHD_25603530863_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0,confirmed,tabm
12544.6066.741972,undefined USD,Chrome 120,Heidenau,DE,USD,8/11/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
12544.6065.763482,undefined USD,Chrome 120,Heidenau,DE,USD,8/10/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
12544.6065.493959,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/9/2024 23:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.0028,confirmed,tab_ch
13624.6064.1464737,undefined USD,Chrome 126,Garden Grove,US,USD,8/9/2024 16:16,desktop,Default,1,172.56.191.10,Shopify CPA,Windows 10,120,pending,tabm
240808NPMT30X9_20416711549_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.5944,confirmed,tabm
240808R0J0HA09_25876711368_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,121.7.245.34,Shopee SG - CPS,Windows 10,0.1329,confirmed,tabm
240808NSNY2D3G_24581890743_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.0406,confirmed,tabm
240808NSNY2D3F_24074186901_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.4418,confirmed,tabm
240808NSNY2D3D_21007922836_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.0143,confirmed,tabm
240808NSNY2D3D_21007922836_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.0143,confirmed,tabm
240808NSNY2D3H_27006069174_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.471,confirmed,tabm
240808NSNY2D3E_22748793519_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,2.7213,confirmed,tabm
240808QRY5Y4AK_1354145174_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,116.14.20.21,Shopee SG - CPS,Windows 10,0.0631,confirmed,tabm
240808QTKW0G3E_2591950137_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:34,desktop,Old User,1,121.7.245.34,Shopee SG - CPS,Windows 10,0.3505,confirmed,tabm
240808QTKW0G3E_2591950137_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:34,desktop,Old User,1,121.7.245.34,Shopee SG - CPS,Windows 10,0.5582,confirmed,tabm
12544.6064.726443,undefined USD,Chrome 120,Heidenau,DE,USD,8/9/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
13624.6063.1525050,undefined USD,Chrome 126,Garden Grove,US,USD,8/8/2024 16:33,desktop,Default,1,172.56.191.155,Shopify CPA,Windows 10,20,pending,tabm
